,token_x,symbol_x,name,expiry_x,strike_x,lotsize_x,instrumenttype_x,exch_seg_x,tick_size_x,token_y,symbol_y,expiry_y,strike_y,lotsize_y,instrumenttype_y,exch_seg_y,tick_size_y
76,57557,UNITDSPR29MAY25FUT,UNITDSPR,29MAY2025,-1.0,350,FUTSTK,NFO,5.0,10447,UNITDSPR-EQ,,-1.0,1,,NSE,5.0
77,57565,ZYDUSLIFE29MAY25FUT,ZYDUSLIFE,29MAY2025,-1.0,900,FUTSTK,NFO,5.0,7929,ZYDUSLIFE-EQ,,-1.0,1,,NSE,5.0
78,35201,APLAPOLLO27MAR25FUT,APLAPOLLO,27MAR2025,-1.0,350,FUTSTK,NFO,5.0,25780,APLAPOLLO-EQ,,-1.0,1,,NSE,5.0
79,35212,APOLLOTYRE27MAR25FUT,APOLLOTYRE,27MAR2025,-1.0,1700,FUTSTK,NFO,5.0,163,APOLLOTYRE-EQ,,-1.0,1,,NSE,5.0
80,35203,APOLLOHOSP27MAR25FUT,APOLLOHOSP,27MAR2025,-1.0,125,FUTSTK,NFO,5.0,157,APOLLOHOSP-EQ,,-1.0,1,,NSE,5.0
81,35216,ASTRAL27MAR25FUT,ASTRAL,27MAR2025,-1.0,367,FUTSTK,NFO,5.0,14418,ASTRAL-EQ,,-1.0,1,,NSE,5.0
82,35332,BALKRISIND27MAR25FUT,BALKRISIND,27MAR2025,-1.0,300,FUTSTK,NFO,5.0,335,BALKRISIND-EQ,,-1.0,1,,NSE,5.0
83,35333,BANDHANBNK27MAR25FUT,BANDHANBNK,27MAR2025,-1.0,2800,FUTSTK,NFO,1.0,2263,BANDHANBNK-EQ,,-1.0,1,,NSE,1.0
84,35405,CAMS27MAR25FUT,CAMS,27MAR2025,-1.0,125,FUTSTK,NFO,5.0,342,CAMS-EQ,,-1.0,1,,NSE,5.0
85,35565,CONCOR27MAR25FUT,CONCOR,27MAR2025,-1.0,1000,FUTSTK,NFO,5.0,4749,CONCOR-EQ,,-1.0,1,,NSE,5.0
86,35801,DELHIVERY27MAR25FUT,DELHIVERY,27MAR2025,-1.0,1525,FUTSTK,NFO,5.0,9599,DELHIVERY-EQ,,-1.0,1,,NSE,5.0
87,36398,GAIL27MAR25FUT,GAIL,27MAR2025,-1.0,2350,FUTSTK,NFO,1.0,4717,GAIL-EQ,,-1.0,1,,NSE,1.0
88,37310,GMRAIRPORT27MAR25FUT,GMRAIRPORT,27MAR2025,-1.0,5625,FUTSTK,NFO,1.0,13528,GMRAIRPORT-EQ,,-1.0,1,,NSE,1.0
89,39345,HAVELLS27MAR25FUT,HAVELLS,27MAR2025,-1.0,500,FUTSTK,NFO,5.0,9819,HAVELLS-EQ,,-1.0,1,,NSE,5.0
90,39357,HDFCLIFE27MAR25FUT,HDFCLIFE,27MAR2025,-1.0,1100,FUTSTK,NFO,5.0,467,HDFCLIFE-EQ,,-1.0,1,,NSE,5.0
91,39366,HINDALCO27MAR25FUT,HINDALCO,27MAR2025,-1.0,1400,FUTSTK,NFO,5.0,1363,HINDALCO-EQ,,-1.0,1,,NSE,5.0
92,40385,IDFCFIRSTB27MAR25FUT,IDFCFIRSTB,27MAR2025,-1.0,7500,FUTSTK,NFO,1.0,11184,IDFCFIRSTB-EQ,,-1.0,1,,NSE,1.0
93,43200,NATIONALUM27MAR25FUT,NATIONALUM,27MAR2025,-1.0,3750,FUTSTK,NFO,1.0,6364,NATIONALUM-EQ,,-1.0,1,,NSE,1.0
94,43327,POONAWALLA27MAR25FUT,POONAWALLA,27MAR2025,-1.0,1450,FUTSTK,NFO,5.0,11403,POONAWALLA-EQ,,-1.0,1,,NSE,5.0
95,43344,SAIL27MAR25FUT,SAIL,27MAR2025,-1.0,4000,FUTSTK,NFO,1.0,2963,SAIL-EQ,,-1.0,1,,NSE,1.0
96,43349,SBICARD27MAR25FUT,SBICARD,27MAR2025,-1.0,800,FUTSTK,NFO,5.0,17971,SBICARD-EQ,,-1.0,1,,NSE,5.0
97,43388,TATAELXSI27MAR25FUT,TATAELXSI,27MAR2025,-1.0,100,FUTSTK,NFO,5.0,3411,TATAELXSI-EQ,,-1.0,1,,NSE,5.0
98,43390,TATAPOWER27MAR25FUT,TATAPOWER,27MAR2025,-1.0,1350,FUTSTK,NFO,5.0,3426,TATAPOWER-EQ,,-1.0,1,,NSE,5.0
99,43427,VBL27MAR25FUT,VBL,27MAR2025,-1.0,875,FUTSTK,NFO,5.0,18921,VBL-EQ,,-1.0,1,,NSE,5.0
100,43428,VEDL27MAR25FUT,VEDL,27MAR2025,-1.0,1150,FUTSTK,NFO,5.0,3063,VEDL-EQ,,-1.0,1,,NSE,5.0
101,48576,171NSETEST27NOV36FUT,171NSETEST,27NOV2036,-1.0,50,FUTSTK,NFO,5.0,23446,171NSETEST-EQ,,-1.0,1,,NSE,5.0
102,54455,ABB24APR25FUT,ABB,24APR2025,-1.0,125,FUTSTK,NFO,5.0,13,ABB-EQ,,-1.0,1,,NSE,5.0
103,57136,ABB29MAY25FUT,ABB,29MAY2025,-1.0,125,FUTSTK,NFO,5.0,13,ABB-EQ,,-1.0,1,,NSE,5.0
104,57137,ABCAPITAL29MAY25FUT,ABCAPITAL,29MAY2025,-1.0,2700,FUTSTK,NFO,1.0,21614,ABCAPITAL-EQ,,-1.0,1,,NSE,1.0
105,57145,AMBUJACEM29MAY25FUT,AMBUJACEM,29MAY2025,-1.0,900,FUTSTK,NFO,5.0,1270,AMBUJACEM-EQ,,-1.0,1,,NSE,5.0
106,57147,APLAPOLLO29MAY25FUT,APLAPOLLO,29MAY2025,-1.0,350,FUTSTK,NFO,5.0,25780,APLAPOLLO-EQ,,-1.0,1,,NSE,5.0
107,57151,ASIANPAINT29MAY25FUT,ASIANPAINT,29MAY2025,-1.0,200,FUTSTK,NFO,5.0,236,ASIANPAINT-EQ,,-1.0,1,,NSE,5.0
108,57153,ATGL29MAY25FUT,ATGL,29MAY2025,-1.0,775,FUTSTK,NFO,5.0,6066,ATGL-EQ,,-1.0,1,,NSE,5.0
109,57154,AUBANK29MAY25FUT,AUBANK,29MAY2025,-1.0,1000,FUTSTK,NFO,5.0,21238,AUBANK-EQ,,-1.0,1,,NSE,5.0
110,57171,BOSCHLTD29MAY25FUT,BOSCHLTD,29MAY2025,-1.0,25,FUTSTK,NFO,5.0,2181,BOSCHLTD-EQ,,-1.0,1,,NSE,5.0
111,57193,DEEPAKNTR29MAY25FUT,DEEPAKNTR,29MAY2025,-1.0,300,FUTSTK,NFO,5.0,19943,DEEPAKNTR-EQ,,-1.0,1,,NSE,5.0
112,57199,DRREDDY29MAY25FUT,DRREDDY,29MAY2025,-1.0,625,FUTSTK,NFO,5.0,881,DRREDDY-EQ,,-1.0,1,,NSE,5.0
113,57205,FEDERALBNK29MAY25FUT,FEDERALBNK,29MAY2025,-1.0,5000,FUTSTK,NFO,1.0,1023,FEDERALBNK-EQ,,-1.0,1,,NSE,1.0
114,57209,GLENMARK29MAY25FUT,GLENMARK,29MAY2025,-1.0,325,FUTSTK,NFO,5.0,7406,GLENMARK-EQ,,-1.0,1,,NSE,5.0
115,57234,HINDCOPPER29MAY25FUT,HINDCOPPER,29MAY2025,-1.0,2650,FUTSTK,NFO,1.0,17939,HINDCOPPER-EQ,,-1.0,1,,NSE,1.0
116,57281,INDUSTOWER29MAY25FUT,INDUSTOWER,29MAY2025,-1.0,1700,FUTSTK,NFO,5.0,29135,INDUSTOWER-EQ,,-1.0,1,,NSE,5.0
117,57350,IRFC29MAY25FUT,IRFC,29MAY2025,-1.0,3525,FUTSTK,NFO,1.0,2029,IRFC-EQ,,-1.0,1,,NSE,1.0
118,57425,LTF29MAY25FUT,LTF,29MAY2025,-1.0,4462,FUTSTK,NFO,1.0,24948,LTF-EQ,,-1.0,1,,NSE,1.0
119,57442,MARUTI29MAY25FUT,MARUTI,29MAY2025,-1.0,50,FUTSTK,NFO,5.0,10999,MARUTI-EQ,,-1.0,1,,NSE,5.0
120,57463,NATIONALUM29MAY25FUT,NATIONALUM,29MAY2025,-1.0,3750,FUTSTK,NFO,1.0,6364,NATIONALUM-EQ,,-1.0,1,,NSE,1.0
121,57468,NCC29MAY25FUT,NCC,29MAY2025,-1.0,1775,FUTSTK,NFO,5.0,2319,NCC-EQ,,-1.0,1,,NSE,5.0
122,57484,PATANJALI24APR25FUT,PATANJALI,24APR2025,-1.0,300,FUTSTK,NFO,5.0,17029,PATANJALI-EQ,,-1.0,1,,NSE,5.0
123,57489,PETRONET29MAY25FUT,PETRONET,29MAY2025,-1.0,1500,FUTSTK,NFO,5.0,11351,PETRONET-EQ,,-1.0,1,,NSE,5.0
124,57493,PHOENIXLTD29MAY25FUT,PHOENIXLTD,29MAY2025,-1.0,350,FUTSTK,NFO,5.0,14552,PHOENIXLTD-EQ,,-1.0,1,,NSE,5.0
125,57504,RAMCOCEM29MAY25FUT,RAMCOCEM,29MAY2025,-1.0,850,FUTSTK,NFO,5.0,2043,RAMCOCEM-EQ,,-1.0,1,,NSE,5.0
126,57506,RECLTD29MAY25FUT,RECLTD,29MAY2025,-1.0,1000,FUTSTK,NFO,5.0,15355,RECLTD-EQ,,-1.0,1,,NSE,5.0
127,57512,SAIL29MAY25FUT,SAIL,29MAY2025,-1.0,4000,FUTSTK,NFO,1.0,2963,SAIL-EQ,,-1.0,1,,NSE,1.0
128,57515,SBIN29MAY25FUT,SBIN,29MAY2025,-1.0,750,FUTSTK,NFO,5.0,3045,SBIN-EQ,,-1.0,1,,NSE,5.0
129,57521,SONACOMS29MAY25FUT,SONACOMS,29MAY2025,-1.0,775,FUTSTK,NFO,5.0,4684,SONACOMS-EQ,,-1.0,1,,NSE,5.0
130,57522,SRF29MAY25FUT,SRF,29MAY2025,-1.0,375,FUTSTK,NFO,5.0,3273,SRF-EQ,,-1.0,1,,NSE,5.0
131,57536,TATATECH24APR25FUT,TATATECH,24APR2025,-1.0,700,FUTSTK,NFO,5.0,20293,TATATECH-EQ,,-1.0,1,,NSE,5.0
132,57544,TITAGARH24APR25FUT,TITAGARH,24APR2025,-1.0,625,FUTSTK,NFO,5.0,15414,TITAGARH-EQ,,-1.0,1,,NSE,5.0
133,57558,UPL29MAY25FUT,UPL,29MAY2025,-1.0,1355,FUTSTK,NFO,5.0,11287,UPL-EQ,,-1.0,1,,NSE,5.0
134,35002,AARTIIND27MAR25FUT,AARTIIND,27MAR2025,-1.0,1000,FUTSTK,NFO,5.0,7,AARTIIND-EQ,,-1.0,1,,NSE,5.0
135,35052,ACC27MAR25FUT,ACC,27MAR2025,-1.0,300,FUTSTK,NFO,5.0,22,ACC-EQ,,-1.0,1,,NSE,5.0
136,35345,BANKBARODA27MAR25FUT,BANKBARODA,27MAR2025,-1.0,2925,FUTSTK,NFO,1.0,4668,BANKBARODA-EQ,,-1.0,1,,NSE,1.0
137,35362,BOSCHLTD27MAR25FUT,BOSCHLTD,27MAR2025,-1.0,25,FUTSTK,NFO,5.0,2181,BOSCHLTD-EQ,,-1.0,1,,NSE,5.0
138,35401,BRITANNIA27MAR25FUT,BRITANNIA,27MAR2025,-1.0,100,FUTSTK,NFO,5.0,547,BRITANNIA-EQ,,-1.0,1,,NSE,5.0
139,35560,COFORGE27MAR25FUT,COFORGE,27MAR2025,-1.0,75,FUTSTK,NFO,5.0,11543,COFORGE-EQ,,-1.0,1,,NSE,5.0
140,36389,FEDERALBNK27MAR25FUT,FEDERALBNK,27MAR2025,-1.0,5000,FUTSTK,NFO,1.0,1023,FEDERALBNK-EQ,,-1.0,1,,NSE,1.0
141,36702,071NSETEST27NOV36FUT,071NSETEST,27NOV2036,-1.0,50,FUTSTK,NFO,5.0,14764,071NSETEST-EQ,,-1.0,1,,NSE,5.0
142,36713,091NSETEST27NOV36FUT,091NSETEST,27NOV2036,-1.0,50,FUTSTK,NFO,5.0,14769,091NSETEST-EQ,,-1.0,1,,NSE,5.0
143,36721,141NSETEST27NOV36FUT,141NSETEST,27NOV2036,-1.0,50,FUTSTK,NFO,5.0,14781,141NSETEST-EQ,,-1.0,1,,NSE,5.0
144,39363,HFCL27MAR25FUT,HFCL,27MAR2025,-1.0,4150,FUTSTK,NFO,1.0,21951,HFCL-EQ,,-1.0,1,,NSE,1.0
145,40388,IGL27MAR25FUT,IGL,27MAR2025,-1.0,2750,FUTSTK,NFO,1.0,11262,IGL-EQ,,-1.0,1,,NSE,1.0
146,40410,INDUSTOWER27MAR25FUT,INDUSTOWER,27MAR2025,-1.0,1700,FUTSTK,NFO,5.0,29135,INDUSTOWER-EQ,,-1.0,1,,NSE,5.0
147,40478,IOC27MAR25FUT,IOC,27MAR2025,-1.0,4875,FUTSTK,NFO,1.0,1624,IOC-EQ,,-1.0,1,,NSE,1.0
148,41576,JKCEMENT27MAR25FUT,JKCEMENT,27MAR2025,-1.0,125,FUTSTK,NFO,5.0,13270,JKCEMENT-EQ,,-1.0,1,,NSE,5.0
149,43212,NCC27MAR25FUT,NCC,27MAR2025,-1.0,1775,FUTSTK,NFO,5.0,2319,NCC-EQ,,-1.0,1,,NSE,5.0
150,43251,OBEROIRLTY27MAR25FUT,OBEROIRLTY,27MAR2025,-1.0,350,FUTSTK,NFO,5.0,20242,OBEROIRLTY-EQ,,-1.0,1,,NSE,5.0
151,43253,OIL27MAR25FUT,OIL,27MAR2025,-1.0,1075,FUTSTK,NFO,5.0,17438,OIL-EQ,,-1.0,1,,NSE,5.0
152,43278,PETRONET27MAR25FUT,PETRONET,27MAR2025,-1.0,1500,FUTSTK,NFO,5.0,11351,PETRONET-EQ,,-1.0,1,,NSE,5.0
153,43312,POLICYBZR27MAR25FUT,POLICYBZR,27MAR2025,-1.0,325,FUTSTK,NFO,5.0,6656,POLICYBZR-EQ,,-1.0,1,,NSE,5.0
154,43313,POLYCAB27MAR25FUT,POLYCAB,27MAR2025,-1.0,125,FUTSTK,NFO,5.0,9590,POLYCAB-EQ,,-1.0,1,,NSE,5.0
155,43328,POWERGRID27MAR25FUT,POWERGRID,27MAR2025,-1.0,1800,FUTSTK,NFO,5.0,14977,POWERGRID-EQ,,-1.0,1,,NSE,5.0
156,43356,SHREECEM27MAR25FUT,SHREECEM,27MAR2025,-1.0,25,FUTSTK,NFO,5.0,3103,SHREECEM-EQ,,-1.0,1,,NSE,5.0
157,43365,SONACOMS27MAR25FUT,SONACOMS,27MAR2025,-1.0,775,FUTSTK,NFO,5.0,4684,SONACOMS-EQ,,-1.0,1,,NSE,5.0
